user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,total_sessions,avg_page_clicks,total_flights_booked,total_hotels_booked,total_cancellations,total_flight_discounts,total_hotel_discounts,avg_flight_discount,avg_hotel_discount,total_flight_trips,avg_seats_per_booking,max_seats_per_booking,total_return_flights,avg_checked_bags,total_checked_bags,avg_base_fare,earliest_departure,latest_return,total_hotel_stays,avg_nights_per_stay,avg_rooms_per_booking,max_rooms_per_booking,avg_room_price,1_discount_traveller,2_family_traveller,months_active,bookings_per_month,3_business_traveller,4_high_spending_traveller,5_long_stay_traveller,age,cluster,segment_label
23557,1958-12-08,F,1,0,usa,new york,LGA,40.777,-73.872,2021-07-22,12,15.416666666666666,9,12,3,6,9,0.15,0.175,0,,,0,,0,,,,2,10.0,1.5,2.0,177.0,True,False,22.166666666666668,0.09022556390977443,False,False,True,66,5,Long stay traveller
79965,1974-01-13,F,0,0,usa,new york,LGA,40.777,-73.872,2022-01-11,16,18.5625,40,35,0,10,0,0.15,,4,1.0,1.0,64,1.0,64,318.575,2023-01-10 08:00:00,2023-05-09 14:00:00,3,2.3333333333333335,1.0,1.0,208.0,True,False,16.4,0.426829268292683,False,False,False,51,2,Business traveller
94883,1972-03-16,F,1,0,usa,kansas city,MCI,39.297,-94.714,2022-02-07,12,8.333333333333334,9,6,0,3,6,0.1,0.075,2,1.5,2.0,24,0.5,12,432.045,2023-03-27 07:00:00,2023-04-17 10:00:00,2,0.5,1.5,2.0,90.0,True,False,15.5,0.25806451612903225,False,False,False,53,3,Business traveller
101486,1972-12-07,F,1,1,usa,tacoma,TCM,47.138,-122.476,2022-02-17,13,26.153846153846153,12,15,3,15,3,0.075,,1,1.0,1.0,13,0.0,0,189.91,2023-06-10 10:00:00,2023-06-14 10:00:00,2,4.0,1.5,2.0,198.5,True,False,15.166666666666666,0.19780219780219782,False,False,False,52,4,Frequent discount booker
101961,1980-09-14,F,1,0,usa,boston,BOS,42.364,-71.005,2022-02-17,12,18.166666666666668,36,42,0,18,6,0.13333333333333333,0.1,5,1.0,1.0,60,0.4,24,248.532,2023-02-08 07:00:00,2023-07-05 11:00:00,5,3.8,1.0,1.0,136.0,True,False,15.166666666666666,0.6593406593406593,False,False,False,44,3,Business traveller
106907,1978-11-17,F,1,1,usa,miami,TNT,25.862,-80.897,2022-02-24,14,26.285714285714285,6,8,2,4,4,0.15,0.2,1,6.0,6.0,14,5.0,70,13902.06,2024-01-16 15:00:00,2024-01-29 15:00:00,1,11.0,3.0,3.0,129.0,True,True,14.933333333333334,0.13392857142857142,False,True,True,46,0,Family booker
118043,1972-05-04,F,0,1,usa,los angeles,LAX,33.942,-118.408,2022-03-10,13,16.153846153846153,30,30,6,24,30,0.16666666666666666,0.125,3,2.0,3.0,39,1.0,39,779.7633333333333,2023-03-05 07:00:00,2023-07-04 14:00:00,4,5.5,1.25,2.0,227.25,True,False,14.466666666666667,0.4838709677419355,False,False,False,52,4,Frequent discount booker
120851,1972-09-25,F,1,1,usa,santa ana,SNA,33.676,-117.868,2022-03-13,13,25.307692307692307,10,8,2,10,2,0.175,,1,1.0,1.0,13,0.0,0,384.68,2023-04-15 07:00:00,2023-04-27 07:00:00,1,10.0,1.0,1.0,182.0,True,False,14.366666666666667,0.13921113689095127,False,False,True,52,5,Long stay traveller
121598,1955-10-19,F,1,0,usa,kansas city,MCI,39.297,-94.714,2022-03-14,11,30.0,2,3,1,2,4,0.05,0.1,0,,,0,,0,,,,0,,,,,True,False,14.333333333333334,0.0,False,False,False,69,1,Solo traveller
125845,1983-12-01,F,1,0,usa,el paso,BIF,31.849,-106.38,2022-03-19,13,26.153846153846153,24,24,4,12,16,0.15,0.06666666666666667,3,1.3333333333333333,2.0,39,0.6666666666666666,26,584.44,2023-02-12 07:00:00,2023-06-16 15:00:00,3,1.3333333333333333,1.3333333333333333,2.0,123.66666666666667,True,False,14.166666666666666,0.4235294117647059,False,False,False,41,4,Frequent discount booker
133058,2005-04-07,F,0,0,usa,austin,AUS,30.194,-97.67,2022-03-27,13,8.692307692307692,2,2,0,2,6,0.15,0.08333333333333333,1,1.0,1.0,13,0.0,0,423.51,2023-04-02 14:00:00,2023-04-06 14:00:00,0,,,,,False,False,13.9,0.07194244604316546,False,False,False,20,1,Solo traveller
149058,1973-01-22,F,0,1,usa,birmingham,BHM,33.563,-86.753,2022-04-14,12,15.416666666666666,42,42,6,12,6,0.05,,5,1.2,2.0,60,0.4,24,385.732,2023-01-09 10:00:00,2023-04-28 09:00:00,5,5.0,1.2,2.0,168.6,True,False,13.3,0.7518796992481203,False,False,False,52,4,Frequent discount booker
152583,1986-07-26,F,0,0,usa,colorado springs,COS,38.806,-104.7,2022-04-17,10,20.2,6,4,2,4,6,0.15,0.15,1,1.0,1.0,10,2.0,20,367.83,2023-06-14 14:00:00,2023-06-19 14:00:00,1,2.0,1.0,1.0,213.0,True,False,13.2,0.15151515151515152,False,False,False,38,3,Business traveller
153982,1978-08-15,F,0,1,canada,toronto,YKZ,43.862,-79.37,2022-04-19,11,23.0,24,24,4,4,8,,0.15,3,1.0,1.0,33,0.3333333333333333,11,218.95666666666668,2023-02-24 12:00:00,2023-08-03 11:00:00,3,1.3333333333333333,1.0,1.0,207.0,True,False,13.133333333333333,0.4568527918781726,False,False,False,46,4,Frequent discount booker
154113,1975-02-07,M,0,0,usa,san francisco,SFO,37.619,-122.375,2022-04-19,11,28.545454545454547,48,42,6,24,12,0.13333333333333333,0.05,5,1.0,1.0,44,0.2,11,605.736,2023-01-11 07:00:00,2023-06-26 13:00:00,5,2.4,1.0,1.0,180.8,True,False,13.133333333333333,0.7614213197969544,False,False,False,50,4,Frequent discount booker
160754,1977-12-06,F,1,1,usa,new york,LGA,40.777,-73.872,2022-04-26,10,29.4,6,4,2,2,4,,0.1,1,1.0,1.0,10,1.0,10,93.62,2023-07-08 14:00:00,2023-07-12 14:00:00,1,2.0,1.0,1.0,214.0,True,False,12.9,0.15503875968992248,False,False,False,47,2,Business traveller
164522,1975-11-07,F,1,0,usa,kansas city,MCI,39.297,-94.714,2022-04-30,10,13.9,6,4,2,6,4,0.05,0.05,1,1.0,1.0,10,1.0,10,328.32,2023-02-17 15:00:00,2023-03-04 15:00:00,1,13.0,1.0,1.0,233.0,True,False,12.766666666666667,0.15665796344647517,False,False,True,49,5,Long stay traveller
167852,2006-02-16,F,0,0,usa,tampa,MCF,27.849,-82.521,2022-05-03,13,10.692307692307692,0,0,0,3,4,0.1,0.1,0,,,0,,0,,,,0,,,,,False,False,12.666666666666666,0.0,False,False,False,19,1,Solo traveller
